epoch,gate,value
4,backbone.features.denseblock3.denselayer21.gate,0.8692517280578613
4,backbone.features.denseblock3.denselayer22.gate,0.8691914081573486
4,backbone.features.denseblock3.denselayer23.gate,0.8693339824676514
4,backbone.features.denseblock3.denselayer24.gate,0.869239866733551
4,backbone.features.denseblock4.denselayer1.gate,0.8691730499267578
4,backbone.features.denseblock4.denselayer2.gate,0.8689975738525391
4,backbone.features.denseblock4.denselayer3.gate,0.8691926598548889
4,backbone.features.denseblock4.denselayer4.gate,0.8691359162330627
4,backbone.features.denseblock4.denselayer5.gate,0.869566023349762
4,backbone.features.denseblock4.denselayer6.gate,0.8685030937194824
4,backbone.features.denseblock4.denselayer7.gate,0.8699572682380676
4,backbone.features.denseblock4.denselayer8.gate,0.8704237341880798
4,backbone.features.denseblock4.denselayer9.gate,0.8725373148918152
4,backbone.features.denseblock4.denselayer10.gate,0.8711060881614685
4,backbone.features.denseblock4.denselayer11.gate,0.8728256821632385
4,backbone.features.denseblock4.denselayer12.gate,0.8710644245147705
4,backbone.features.denseblock4.denselayer13.gate,0.8719525337219238
4,backbone.features.denseblock4.denselayer14.gate,0.8711383938789368
4,backbone.features.denseblock4.denselayer15.gate,0.8715760111808777
4,backbone.features.denseblock4.denselayer16.gate,0.8688818216323853
5,backbone.features.denseblock1.denselayer1.gate,0.8663421273231506
5,backbone.features.denseblock1.denselayer2.gate,0.8663350343704224
5,backbone.features.denseblock1.denselayer3.gate,0.8662095665931702
5,backbone.features.denseblock1.denselayer4.gate,0.866144597530365
5,backbone.features.denseblock1.denselayer5.gate,0.8661440014839172
5,backbone.features.denseblock1.denselayer6.gate,0.8661322593688965
5,backbone.features.denseblock2.denselayer1.gate,0.8661368489265442
5,backbone.features.denseblock2.denselayer2.gate,0.8661669492721558
5,backbone.features.denseblock2.denselayer3.gate,0.8661664128303528
5,backbone.features.denseblock2.denselayer4.gate,0.8661928176879883
5,backbone.features.denseblock2.denselayer5.gate,0.8661757111549377
5,backbone.features.denseblock2.denselayer6.gate,0.8661103844642639
5,backbone.features.denseblock2.denselayer7.gate,0.8662367463111877
5,backbone.features.denseblock2.denselayer8.gate,0.8661644458770752
5,backbone.features.denseblock2.denselayer9.gate,0.8660762906074524
5,backbone.features.denseblock2.denselayer10.gate,0.8662387132644653
5,backbone.features.denseblock2.denselayer11.gate,0.8662375211715698
5,backbone.features.denseblock2.denselayer12.gate,0.8663061857223511
5,backbone.features.denseblock3.denselayer1.gate,0.8661258220672607
5,backbone.features.denseblock3.denselayer2.gate,0.8661475777626038
5,backbone.features.denseblock3.denselayer3.gate,0.866134524345398
5,backbone.features.denseblock3.denselayer4.gate,0.8661146759986877
5,backbone.features.denseblock3.denselayer5.gate,0.8660879135131836
5,backbone.features.denseblock3.denselayer6.gate,0.8661685585975647
5,backbone.features.denseblock3.denselayer7.gate,0.8661648035049438
5,backbone.features.denseblock3.denselayer8.gate,0.8661872744560242
5,backbone.features.denseblock3.denselayer9.gate,0.8661082983016968
5,backbone.features.denseblock3.denselayer10.gate,0.8661295175552368
5,backbone.features.denseblock3.denselayer11.gate,0.8661787509918213
5,backbone.features.denseblock3.denselayer12.gate,0.8661967515945435
5,backbone.features.denseblock3.denselayer13.gate,0.8661562204360962
5,backbone.features.denseblock3.denselayer14.gate,0.8662106394767761
5,backbone.features.denseblock3.denselayer15.gate,0.8661920428276062
5,backbone.features.denseblock3.denselayer16.gate,0.8662596344947815
5,backbone.features.denseblock3.denselayer17.gate,0.8661642074584961
5,backbone.features.denseblock3.denselayer18.gate,0.8662305474281311
5,backbone.features.denseblock3.denselayer19.gate,0.8662047982215881
